"titles","year","imdb_rating","num_votes","genre","film_rating","director","lead_actor","gross","max_theaters","opening_gross","opening_weekend_perc","opening_theaters","open_date","close_date","Race","Race_Specific"
"Logan Lucky","2017",7,133498,"Comedy","PG-13","Steven Soderbergh","Channing Tatum",27780977,3615,7600036,"27.4",3615,"2017-01-01","2017-01-01","Not POC","White"
"Rings","2017",4.5,38071,"Comedy","PG-13","F. Javier Gutiérrez","Matilda Anna Ingrid Lutz",27793018,3615,13002632,"46.8",3615,"2017-11-01","2017-11-01","Not POC","White"
"Home Again","2017",5.8,28933,"Comedy","PG-13","Hallie Meyers-Shyer","Reese Witherspoon",27020284,3178,8567881,"31.7",3178,"2017-01-01","2017-01-01","Not POC","White"
"The House","2017",5.6,41339,"Comedy","R","Andrew Jay Cohen","Will Ferrell",25584504,2341,8724795,"34.1",2341,"2017-12-01","2017-12-01","Not POC","White"
"All the Money in the World","2017",6.8,76722,"Comedy","R","Ridley Scott","Michelle Williams",25113707,2,5584684,"22.2",2,"2017-05-01","2017-05-01","POC","Black"
"Gifted","2017",7.6,101651,"Comedy","PG-13","Marc Webb","Chris Evans",24801212,4047,446380,"1.8",4047,"2017-09-01","2017-09-01","Not POC","White"
"Downsizing","2017",5.7,100201,"Comedy","R","Alexander Payne","Matt Damon",24449754,4047,4954287,"20.3",4047,"2017-11-01","2017-11-01","Not POC","White"
"The Bye Bye Man","2017",4.2,22121,"Comedy","PG-13","Stacy Title","Douglas Smith",22395806,3647,13501349,"60.3",3647,"2017-05-01","2017-05-01","Not POC","White"
"Victoria & Abdul","2017",6.8,32423,"Comedy","PG-13","Stephen Frears","Judi Dench",22245070,3647,158845,"0.7",3647,"2017-07-01","2017-07-01","Not POC","White"
"Rough Night","2017",5.2,47773,"Comedy","R","Lucia Aniello","Scarlett Johansson",22105643,2888,8004283,"36.2",2888,"2017-03-01","2017-03-01","Not POC","White"
"My Little Pony: The Movie","2017",6.1,6087,"Comedy","PG","Jayson Thiessen","Emily Blunt",21885107,2888,8885899,"40.6",2888,"2017-05-01","2017-05-01","Not POC","White"
"The Disaster Artist","2017",7.4,140211,"Comedy","R","James Franco","James Franco",21120616,3535,1211345,"5.7",3535,"2017-10-01","2017-10-01","Not POC","White"
"Phantom Thread","2017",7.5,114611,"Comedy","R","Paul Thomas Anderson","Vicky Krieps",21198205,4,216495,"1",4,"2017-04-01","2017-04-01","Not POC","White"
"Sleepless","2017",5.6,30144,"Comedy","R","Baran bo Odar","Jamie Foxx",20783704,3149,8344128,"40.1",3149,"2017-12-01","2017-12-01","POC","Black"
"Diary of a Wimpy Kid: The Long Haul","2017",4.3,7400,"Comedy","PG","David Bowers","Jason Drucker",20738724,1726,7126084,"34.4",1726,"2017-11-01","2017-11-01","Not POC","White"
"The Circle","2017",5.4,85686,"Drama","PG-13","James Ponsoldt","Emma Watson",20497844,4,9034148,"44.1",4,"2017-05-01","2017-05-01","Not POC","White"
"Baahubali 2: The Conclusion","2017",8.2,76303,"Drama","Not Rated","S.S. Rajamouli","Prabhas",20186659,3326,10430497,"51.7",3326,"2017-07-01","2017-07-01","Not POC","White"
"CHIPS","2017",6,43069,"Drama","R","Dax Shepard","Michael Peña",18600152,3304,7722802,"41.5",3304,"2017-10-01","2017-10-01","Not POC","White"
"Only the Brave","2017",7.6,59669,"Drama","PG-13","Joseph Kosinski","Josh Brolin",18343983,3098,6002665,"32.7",3098,"2017-09-01","2017-09-01","Not POC","White"
"Call Me by Your Name","2017",7.9,218986,"Drama","R","Luca Guadagnino","Armie Hammer",18095701,3024,412932,"2.3",3024,"2017-12-01","2017-12-01","Not POC","White"
"Mother!","2017",6.6,194070,"Drama","R","Darren Aronofsky","Jennifer Lawrence",17800004,3451,7534673,"42.3",3451,"2017-08-01","2017-08-01","Not POC","White"
"Father Figures","2017",5.5,18511,"Drama","R","Lawrence Sher","Owen Wilson",17501244,1557,3287451,"18.8",1557,"2017-11-01","2017-11-01","Not POC","White"
"The Zookeeper's Wife","2017",7,39136,"Drama","PG-13","Niki Caro","Jessica Chastain",17571660,3451,3288835,"18.7",3451,"2017-10-01","2017-10-01","Not POC","White"
"Chappaquiddick","2017",6.4,12263,"Drama","PG-13","John Curran","Jason Clarke",17395520,2006,5765854,"33.1",2006,"2018-05-01","2018-05-01","Not POC","White"
"The Glass Castle","2017",7.2,30360,"Drama","PG-13","Destin Daniel Cretton","Brie Larson",17273059,4,4678548,"27.1",4,"2017-04-01","2017-04-01","Not POC","White"
"Flatliners","2017",5.2,43238,"Drama","PG-13","Niels Arden Oplev","Elliot Page",16883115,2388,6574326,"38.9",2388,"2017-10-01","2017-10-01","Not POC","White"
"Detroit","2017",7.3,49051,"Drama","R","Kathryn Bigelow","John Boyega",16790139,2388,350190,"2.1",2388,"2017-12-01","2017-12-01","Not POC","White"
"The Case for Christ","2017",6.3,7957,"Drama","PG","Jon Gunn","Erika Christensen",14682684,3511,3967885,"27",3511,"2017-05-01","2017-05-01","Not POC","White"
"Wish Upon","2017",5,18672,"Drama","PG-13","John R. Leonetti","Joey King",14301505,3501,5467084,"38.2",3501,"2017-08-01","2017-08-01","Not POC","White"
"Borg vs. McEnroe","2017",6.9,28437,"Drama","R","Janus Metz","Sverrir Gudnason",231346,9,52625,"22.7",9,"2018-04-01","2018-04-01","Not POC","White"
"It Comes at Night","2017",6.2,85127,"Drama","R","Trey Edward Shults","Joel Edgerton",13985117,3328,5988370,"42.8",3328,"2017-02-01","2017-02-01","Not POC","White"
"Megan Leavey","2017",7.1,21891,"Drama","PG-13","Gabriela Cowperthwaite","Kate Mara",13406883,3610,3810867,"28.4",3610,"2017-04-01","2017-04-01","Not POC","White"
"Battle of the Sexes","2017",6.7,50856,"Drama","PG-13","Jonathan Dayton","Valerie Faris",12638526,3076,518332,"4.1",3076,"2017-04-01","2017-04-01","Not POC","White"
"Before I Fall","2017",6.5,47010,"Drama","PG-13","Ry Russo-Young","Zoey Deutch",12241122,3061,4690214,"38.3",3061,"2017-07-01","2017-07-01","Not POC","White"
" Markiplier","2012",8.9,38,"Drama","Not Rated","Mark Fischbach","Chica Fischbach",NA,NA,NA,NA,NA,NA,NA,"Not POC","White"
"Roman J. Israel, Esq.","2017",6.5,34282,"Drama","PG-13","Dan Gilroy","Denzel Washington",11962778,2471,61999,"0.5",2471,"2017-06-01","2017-06-01","POC","Black"
"Unforgettable","2017",5.1,14122,"Drama","R","Denise Di Novi","Rosario Dawson",11368012,2471,4785431,"42.1",2471,"2017-08-01","2017-08-01","POC","Hispanic"
