titles,gross,max_theaters,opening_gross,opening_weekend_perc,opening_theaters,open_date,close_date
Photograph,344534,1586,35796,10.4,1586,,
Diane,336166,381,24467,7.3,381,2019-08-01,2019-08-01
A Silent Voice: The Movie,333984,381,0,0,381,,
The Big Fight Live: IBF Welterweight Title: Errol Spence Jr. vs. Mikey Garcia,328979,320,328979,100,320,2019-04-01,2019-04-01
P Storm,326711,320,104071,31.9,320,2019-05-01,2019-05-01
National Theatre Live: Fleabag,326283,371,0,0,371,2019-08-01,2019-08-01
Sword of Trust,322421,371,19332,6,371,2019-10-01,2019-10-01
Lucy in the Sky,319976,283,54058,16.9,283,2019-02-01,2019-02-01
You Are Here: A Come From Away Story,318885,4,0,0,4,2019-04-01,2019-04-01
Josh Groban Bridges Live from Madison Square Garden,315173,550,0,0,550,2019-07-01,2019-07-01
Bolshoi Ballet: The Sleeping Beauty,311368,7,311368,100,7,2019-08-01,2019-08-01
DanTDM Presents The Contest,307484,268,307484,100,268,2019-02-01,2019-02-01
Aquarela,307346,4,24753,8.1,4,2019-05-01,2019-05-01
K-12,303230,83,0,0,83,2019-10-01,2019-10-01
Bolshoi Ballet: The Nutcracker,303000,67,252935,83.5,67,2019-11-01,2019-11-01
Ask Dr. Ruth,297195,701,93128,31.3,701,2019-09-01,2019-09-01
Line Walker 2: Invisible Spy,296751,54,96991,32.7,54,,
Junglee,295784,317,47089,15.9,317,2019-07-01,2019-07-01
The Giant Spider Invasion,293053,317,0,0,317,,
Stockholm,292590,810,0,0,810,2019-10-01,2019-10-01
The Godfather: Part II,291754,0,171417,58.8,0,,
Killerman,291477,717,153799,52.8,717,2019-02-01,2019-02-01
The Bravest,290217,717,110375,38,717,2019-03-01,2019-03-01
Saga of Tanya the Evil - The Movie,288460,667,0,0,667,2019-09-01,2019-09-01
Khalid: Free Spirit,284229,0,0,0,0,,
Mike Wallace Is Here,281245,209,19437,6.9,209,2019-02-01,2019-02-01
The Whistleblower,280851,202,150481,53.6,202,2019-03-01,2019-03-01
Octaman,280710,315,0,0,315,2019-10-01,2019-10-01
I Want to Eat Your Pancreas,277019,315,111108,40.1,315,2019-11-01,2019-11-01
Freaks,276591,681,161543,58.4,681,2019-01-01,2019-01-01
True Grit,276418,681,157788,57.1,681,2019-02-01,2019-02-01
The Tale of The Princess Kaguya,271681,235,0,0,235,2019-08-01,2019-08-01
Shakira in Concert: El Dorado World Tour,271586,5,111273,41,5,,
Is It Wrong to Try to Pick Up Girls in a Dungeon - Arrow of the Orion,271489,195,0,0,195,2019-09-01,2019-09-01
One Child Nation,270128,195,20523,7.6,195,2019-10-01,2019-10-01
Slayer: The Repentless Killogy,268727,485,0,0,485,2019-08-01,2019-08-01
Luzia: Cirque du Soleil in Cinema,265673,4,0,0,4,,
Out of Liberty,265279,88,66546,25.1,88,2019-11-01,2019-11-01
Cunningham,265102,70,18422,6.9,70,,
Star Raiders: The Adventures of Saber Raine,260234,115,0,0,115,2019-03-01,2019-03-01
Mobile Suit Gundam Narrative,259224,50,0,0,50,2019-03-01,2019-03-01
Her Smell,255599,365,36941,14.5,365,2019-04-01,2019-04-01
Play the Flute,254475,5,0,0,5,,
Lords of Chaos,253184,205,27649,10.9,205,2019-06-01,2019-06-01
When Harry Met Sally...,252320,205,157660,62.5,205,,
I Got the Hook Up 2,252293,37,149036,59.1,37,2019-09-01,2019-09-01
Canal Street,251917,1,108259,43,1,,
Meeting Gorbachev,251837,151,18128,7.2,151,2019-12-01,2019-12-01
The Twilight Zone: A 60th Anniversary Celebration,248514,5,0,0,5,2019-02-01,2019-02-01
Doctor Who: The End of Time: Part One,247798,570,0,0,570,2019-11-01,2019-11-01
Friendsgiving Day #1,246168,4,246168,100,4,,
Give Me Liberty,242734,195,33261,13.7,195,2019-06-01,2019-06-01
311 Enlarged to Show Detail 3,238791,4,0,0,4,,
American Woman,236637,344,110552,46.7,344,2019-03-01,2019-03-01
Romeo Akbar Walter,236299,5,142102,60.1,5,2019-05-01,2019-05-01
Premier Boxing Champions: PBC on FOX: Spence vs. Porter,232973,553,232973,100,553,2019-10-01,2019-10-01
DAZN Boxing: Canelo Alvarez vs. Daniel Jacobs,230703,345,230703,100,345,2019-12-01,2019-12-01
Mine 9,226421,195,68921,30.4,195,2019-04-01,2019-04-01
Millennium Actress,225250,4,0,0,4,2019-07-01,2019-07-01
Premier Boxing Champions: PBC on FOX PPV: Pacquiao vs. Thurman,223858,428,223858,100,428,2019-08-01,2019-08-01
Never Surrender: A Galaxy Quest Documentary,222971,5,0,0,5,,
First Love,218329,26,21151,9.7,26,2019-01-01,2019-01-01
"The Gangster, the Cop, the Devil",216494,2,78655,36.3,2,2019-04-01,2019-04-01
The Karate Kid,215447,268,140623,65.3,268,2019-03-01,2019-03-01
Hamlet,214578,268,0,0,268,2019-04-01,2019-04-01
"Faith, Hope & Love",210091,605,55403,26.4,605,2019-05-01,2019-05-01
Master Z: The Ip Man Legacy,209454,605,92663,44.2,605,2019-05-01,2019-05-01
Kathy Griffin: A Hell of a Story,208907,0,0,0,0,2019-11-01,2019-11-01
Bolshoi Ballet: Carmen Suite/Petrushka,207523,0,207523,100,0,,
Synonyms,206003,0,17891,8.7,0,2019-08-01,2019-08-01
The Iron Orchard,204881,0,45863,22.4,0,,
Hesburgh,204709,768,17009,8.3,768,2019-10-01,2019-10-01
Forrest Gump,203088,765,114767,56.5,765,,
Dabangg 3,202000,541,0,0,541,2019-10-01,2019-10-01
Blink of an Eye,201874,541,0,0,541,2019-11-01,2019-11-01
Friendsgiving Day #2,198869,758,0,0,758,2019-04-01,2019-04-01
Chasing the Dragon II: Wild Wild Bunch,196634,706,60971,31,706,2019-04-01,2019-04-01
Family,194601,200,19586,10.1,200,2019-10-01,2019-10-01
Mr. Klein,193028,1,15915,8.2,1,2019-11-01,2019-11-01
Bolshoi Ballet: Le Corsaire,190192,76,190192,100,76,2019-02-01,2019-02-01
The Divine Plan,190031,51,0,0,51,2019-05-01,2019-05-01
42nd Street: The Musical,187440,655,0,0,655,2019-10-01,2019-10-01
To Dust,184495,157,8496,4.6,157,,
The River and the Wall,183602,490,57504,31.3,490,2019-10-01,2019-10-01
Giant Little Ones,181507,490,13042,7.2,490,,
Raymonda: Bolshoi Ballet,181361,146,181361,100,146,2019-04-01,2019-04-01
Bolshoi Ballet: Raymonda,181361,4,181361,100,4,2019-05-01,2019-05-01
Modest Heroes,178027,328,178027,100,328,2019-05-01,2019-05-01
The Warrior Queen of Jhansi,177289,4,112208,63.3,4,,
India's Most Wanted,176858,705,98322,55.6,705,2019-04-01,2019-04-01
"Iyengar: The Man, Yoga, and the Student's Journey",176387,0,9248,5.2,0,,
Tigers Are Not Afraid,175559,82,30710,17.5,82,2019-03-01,2019-03-01
Marjaavaan,174164,53,101761,58.4,53,2019-04-01,2019-04-01
Bolshoi Ballet: The Golden Age,171916,193,171916,100,193,2019-02-01,2019-02-01
